,zip_code,date,total_doses_daily,total_doses_cumulative,_1st_dose_daily,_1st_dose_cumulative,_1st_dose_percent_population,vaccine_series_completed_daily,vaccine_series_completed_cumulative,vaccine_series_completed_percent_population,population,zip_code_location,row_id,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6
58,60827,2021-03-13T00:00:00.000,6,339,4,231,0.008,3,111,0.004,28483,"{'type': 'Point', 'coordinates': [-87.633087, 41.650765]}",60827-20210313,,4460,,,
59,Unknown,2021-03-13T00:00:00.000,58,2674,52,1682,0,19,1034,0,0,,Unknown-20210313,,,,,
60,60601,2021-03-12T00:00:00.000,108,4939,80,3013,0.2,33,1946,0.129,15083,"{'type': 'Point', 'coordinates': [-87.622844, 41.886262]}",60601-20210312,38,14309,580,36,42
61,60602,2021-03-12T00:00:00.000,26,801,11,480,0.419,15,324,0.283,1145,"{'type': 'Point', 'coordinates': [-87.628309, 41.883136]}",60602-20210312,38,14310,92,36,41
62,60603,2021-03-12T00:00:00.000,7,853,6,526,0.5,2,331,0.315,1052,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",60603-20210312,38,14311,367,36,34
63,60604,2021-03-12T00:00:00.000,9,569,5,339,0.412,4,234,0.284,823,"{'type': 'Point', 'coordinates': [-87.629029, 41.878153]}",60604-20210312,38,14912,92,10,29
64,60605,2021-03-12T00:00:00.000,212,11845,144,7080,0.244,76,4830,0.166,29060,"{'type': 'Point', 'coordinates': [-87.623449, 41.867824]}",60605-20210312,38,14913,368,10,35
65,60606,2021-03-12T00:00:00.000,28,1293,17,782,0.238,12,522,0.159,3287,"{'type': 'Point', 'coordinates': [-87.63676, 41.882634]}",60606-20210312,38,14914,92,36,46
66,60607,2021-03-12T00:00:00.000,192,11489,115,6803,0.232,85,4735,0.162,29293,"{'type': 'Point', 'coordinates': [-87.652727, 41.876104]}",60607-20210312,29,14917,87,26,44
67,60608,2021-03-12T00:00:00.000,1113,22264,879,14958,0.187,247,7377,0.092,80059,"{'type': 'Point', 'coordinates': [-87.670366, 41.849879]}",60608-20210312,33,14920,126,26,43
68,60609,2021-03-12T00:00:00.000,393,11745,244,7878,0.129,156,3919,0.064,60939,"{'type': 'Point', 'coordinates': [-87.653382, 41.812017]}",60609-20210312,59,14924,123,48,37
69,60610,2021-03-12T00:00:00.000,315,14475,222,8915,0.22,104,5626,0.139,40548,"{'type': 'Point', 'coordinates': [-87.63581, 41.90455]}",60610-20210312,37,14926,290,11,54
70,60611,2021-03-12T00:00:00.000,361,18569,263,10617,0.32,109,8005,0.241,33224,"{'type': 'Point', 'coordinates': [-87.620291, 41.894734]}",60611-20210312,37,21182,158,36,6
71,60612,2021-03-12T00:00:00.000,232,9412,136,5845,0.173,103,3604,0.107,33735,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",60612-20210312,29,21184,785,46,28
72,60613,2021-03-12T00:00:00.000,444,17411,286,10924,0.215,181,6603,0.13,50761,"{'type': 'Point', 'coordinates': [-87.661343, 41.953742]}",60613-20210312,57,21186,725,25,53
73,60614,2021-03-12T00:00:00.000,560,23927,345,14643,0.204,235,9382,0.13,71954,"{'type': 'Point', 'coordinates': [-87.652064, 41.922605]}",60614-20210312,68,21190,744,34,16
74,60615,2021-03-12T00:00:00.000,253,13623,183,8177,0.201,75,5505,0.136,40590,"{'type': 'Point', 'coordinates': [-87.602725, 41.801993]}",60615-20210312,8,21192,147,33,10
75,60616,2021-03-12T00:00:00.000,414,16322,265,10427,0.192,164,5971,0.11,54197,"{'type': 'Point', 'coordinates': [-87.629531, 41.844869]}",60616-20210312,1,21194,377,9,40
76,60617,2021-03-12T00:00:00.000,499,16489,329,10963,0.131,175,5599,0.067,83553,"{'type': 'Point', 'coordinates': [-87.556897, 41.721257]}",60617-20210312,48,21202,527,47,25
77,60618,2021-03-12T00:00:00.000,764,25985,482,16796,0.177,348,9462,0.1,94907,"{'type': 'Point', 'coordinates': [-87.703343, 41.946699]}",60618-20210312,16,21538,372,20,39
78,60619,2021-03-12T00:00:00.000,451,12949,329,8541,0.14,125,4476,0.073,61207,"{'type': 'Point', 'coordinates': [-87.60569, 41.744737]}",60619-20210312,40,21546,140,35,61
79,60620,2021-03-12T00:00:00.000,468,11803,313,8052,0.119,161,3802,0.056,67711,"{'type': 'Point', 'coordinates': [-87.651656, 41.740873]}",60620-20210312,70,21554,530,13,59
80,60621,2021-03-12T00:00:00.000,140,4033,115,2951,0.105,26,1099,0.039,28018,"{'type': 'Point', 'coordinates': [-87.638812, 41.776931]}",60621-20210312,66,21559,435,4,11
81,60622,2021-03-12T00:00:00.000,424,17876,231,11185,0.21,225,6801,0.128,53294,"{'type': 'Point', 'coordinates': [-87.681818, 41.902762]}",60622-20210312,25,21560,476,11,4
82,60623,2021-03-12T00:00:00.000,530,20537,311,15581,0.192,229,5038,0.062,81283,"{'type': 'Point', 'coordinates': [-87.717446, 41.850321]}",60623-20210312,32,21569,754,28,57
83,60624,2021-03-12T00:00:00.000,183,5438,117,3830,0.11,72,1653,0.047,34892,"{'type': 'Point', 'coordinates': [-87.722735, 41.879417]}",60624-20210312,27,21572,736,23,30
84,60625,2021-03-12T00:00:00.000,601,21595,390,13937,0.175,258,7843,0.099,79444,"{'type': 'Point', 'coordinates': [-87.701816, 41.971155]}",60625-20210312,6,21849,620,24,20
85,60626,2021-03-12T00:00:00.000,325,13994,192,8976,0.178,144,5083,0.101,50544,"{'type': 'Point', 'coordinates': [-87.669834, 42.009469]}",60626-20210312,10,21853,358,5,9
86,60628,2021-03-12T00:00:00.000,370,11306,253,7533,0.117,123,3858,0.060,64254,"{'type': 'Point', 'coordinates': [-87.621537, 41.694192]}",60628-20210312,45,21861,237,43,19
87,60629,2021-03-12T00:00:00.000,903,24757,527,18163,0.165,382,6699,0.061,110029,"{'type': 'Point', 'coordinates': [-87.711565, 41.777061]}",60629-20210312,64,21867,293,6,58
88,60630,2021-03-12T00:00:00.000,500,15706,297,10210,0.181,253,5713,0.101,56433,"{'type': 'Point', 'coordinates': [-87.759611, 41.971261]}",60630-20210312,11,21869,129,50,48
89,60631,2021-03-12T00:00:00.000,300,12111,175,7680,0.26,163,4645,0.157,29529,"{'type': 'Point', 'coordinates': [-87.813371, 41.995019]}",60631-20210312,36,22243,733,29,17
90,60632,2021-03-12T00:00:00.000,722,21449,412,15520,0.173,318,6022,0.067,89857,"{'type': 'Point', 'coordinates': [-87.711251, 41.810038]}",60632-20210312,55,22248,640,8,56
91,60633,2021-03-12T00:00:00.000,87,2013,57,1324,0.104,30,697,0.055,12689,"{'type': 'Point', 'coordinates': [-87.556037, 41.653147]}",60633-20210312,52,22250,586,47,26
92,60634,2021-03-12T00:00:00.000,586,20356,327,13470,0.179,328,7201,0.096,75082,"{'type': 'Point', 'coordinates': [-87.797373, 41.944967]}",60634-20210312,17,22254,396,19,52
93,60636,2021-03-12T00:00:00.000,187,4675,133,3397,0.113,54,1298,0.043,30024,"{'type': 'Point', 'coordinates': [-87.668597, 41.77599]}",60636-20210312,65,22257,280,3,23
94,60637,2021-03-12T00:00:00.000,222,9834,155,6073,0.128,73,3792,0.080,47300,"{'type': 'Point', 'coordinates': [-87.604053, 41.780991]}",60637-20210312,9,22260,470,4,60
95,60638,2021-03-12T00:00:00.000,446,15279,199,9938,0.169,257,5412,0.092,58669,"{'type': 'Point', 'coordinates': [-87.771902, 41.787032]}",60638-20210312,53,22268,590,15,7
96,60639,2021-03-12T00:00:00.000,419,20236,243,15491,0.176,205,4886,0.055,88204,"{'type': 'Point', 'coordinates': [-87.75531, 41.920609]}",60639-20210312,19,22615,306,44,2
97,60640,2021-03-12T00:00:00.000,522,24533,356,15666,0.226,198,9025,0.13,69363,"{'type': 'Point', 'coordinates': [-87.662232, 41.971888]}",60640-20210312,31,22616,633,18,15
98,60641,2021-03-12T00:00:00.000,545,17482,334,11749,0.168,266,5928,0.085,69880,"{'type': 'Point', 'coordinates': [-87.746791, 41.946682]}",60641-20210312,15,22618,139,21,21
99,60642,2021-03-12T00:00:00.000,154,6514,91,3984,0.202,75,2584,0.131,19716,"{'type': 'Point', 'coordinates': [-87.657821, 41.899935]}",60642-20210312,25,22620,109,46,49
100,60643,2021-03-12T00:00:00.000,388,14927,219,9237,0.189,177,5759,0.118,48887,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",60643-20210312,71,22212,630,42,13
101,60644,2021-03-12T00:00:00.000,174,7503,102,5143,0.11,77,2481,0.053,46591,"{'type': 'Point', 'coordinates': [-87.756863, 41.881113]}",60644-20210312,26,22216,674,23,32
102,60645,2021-03-12T00:00:00.000,375,14319,232,9247,0.196,171,5166,0.109,47270,"{'type': 'Point', 'coordinates': [-87.695049, 42.008927]}",60645-20210312,20,22528,42,27,12
103,60646,2021-03-12T00:00:00.000,272,11224,159,7057,0.247,148,4322,0.151,28569,"{'type': 'Point', 'coordinates': [-87.761826, 41.993931]}",60646-20210312,12,22532,782,38,18
104,60647,2021-03-12T00:00:00.000,720,23853,401,15466,0.176,356,8580,0.098,87633,"{'type': 'Point', 'coordinates': [-87.701101, 41.921058]}",60647-20210312,23,22535,322,41,1
105,60649,2021-03-12T00:00:00.000,285,9131,224,5983,0.128,64,3181,0.068,46633,"{'type': 'Point', 'coordinates': [-87.571522, 41.762202]}",60649-20210312,39,22538,418,33,24
106,60651,2021-03-12T00:00:00.000,336,10258,194,7034,0.111,157,3354,0.053,63492,"{'type': 'Point', 'coordinates': [-87.741017, 41.901964]}",60651-20210312,24,4299,99,45,5
107,60652,2021-03-12T00:00:00.000,457,9828,312,6710,0.154,153,3176,0.073,43447,"{'type': 'Point', 'coordinates': [-87.714238, 41.745398]}",60652-20210312,69,4300,199,30,8
108,60653,2021-03-12T00:00:00.000,170,7554,121,4956,0.149,52,2635,0.079,33154,"{'type': 'Point', 'coordinates': [-87.611244, 41.819261]}",60653-20210312,4,4301,583,10,36
